clientId,recommendations
1000000702.1496287929,"[417373, 417636, 417355, 417683, 417325, 417706, 417693, 418137, 418084, 417614]"
1000003707.1519054059,"[417605, 417890, 417614, 417636, 417599, 416761, 417221, 417513, 417683, 417519]"
1000005189.1516675846,"[418179, 418199, 418311, 418468, 418183, 418306, 418462, 418173, 418146, 418377]"
1000009754.1534687311,"[417770, 416988, 417751, 416773, 417759, 416703, 415811, 415809, 416785, 416951]"
1000010129.1538535767,"[417428, 418084, 417329, 417325, 417770, 418137, 417605, 416773, 417355, 418218]"
1000012506.1538386450,"[416687, 416677, 416703, 416701, 416699, 416693, 416695, 416807, 416634, 414444]"
1000022679.1538667123,"[418137, 416687, 417770, 416707, 417751, 418468, 417673, 417355, 418523, 416968]"
1000027864.1484208400,"[418218, 418179, 418084, 418137, 417996, 416614, 418103, 417325, 418199, 417683]"
100003825.1538416560,"[418084, 417325, 417355, 416988, 416773, 417636, 417933, 416915, 418218, 417706]"
1000039417.1517046789,"[416616, 416564, 416537, 416592, 416452, 416636, 416625, 416693, 416556, 416184]"
1000041889.1538663427,"[417636, 417683, 417693, 417706, 417738, 417759, 417834, 416116, 417546, 417784]"
1000042232.1538745898,"[417636, 417683, 417693, 417706, 417738, 417759, 417355, 417834, 417546, 416116]"
1000051489.1513645049,"[416614, 418199, 416537, 416634, 416640, 416636, 415809, 416677, 417355, 416693]"
1000056294.1538641873,"[417636, 417683, 417693, 417706, 417738, 417759, 417355, 417834, 417546, 416116]"
1000075260.1538725691,"[417636, 417683, 417693, 417706, 417751, 417738, 417759, 416687, 417787, 418084]"
1000075410.1538400225,"[416915, 416707, 416898, 416932, 416900, 416951, 416981, 416879, 417121, 417178]"
1000083372.1525507374,"[418218, 417996, 418179, 417325, 416773, 418451, 417933, 418137, 416703, 417373]"
1000083561.1509032369,"[418179, 418199, 418311, 418183, 418218, 418468, 418173, 418306, 418462, 418146]"
1000088346.1429512941,"[416616, 417636, 417683, 416564, 416537, 416592, 416452, 416636, 417693, 416625]"
1000091354.1538613250,"[417787, 416773, 416703, 417325, 417614, 417831, 416592, 417801, 416785, 417759]"
